流水號	年	月	日	發表形式	組別	組別-英	時間(分)	編號	競賽	報告者	作者	題目	組別分類(下拉選單)	題目-英	單位	研究室	物種	得獎與否	備註
991	2007	1	27-28	海報	生物親緣與分類		120	DP-07			1.吳泰翰、1.蕭淳任、1.楊智安、2.鄭錫奇、1.方引平	台灣大蹄鼻蝠遺傳多樣性與回聲定位音頻的初步探討			1.嘉義大學生物資源學系、2.行政院農委會特有生物研究保育中心				
992	2007	1	27-28	海報	生物親緣與分類		120	DP-08			陳彥霖、顏聖紘	大鉤蛾亞科(鳞翅目:鉤蛾總科)之系統發生地位:歷史回顧與新進展			中山大學生物科學系				
993	2007	1	27-28	海報	生物親緣與分類		120	DP-09			張育誠、顏聖紘	蛾類如何捲折翅膀?一燕蛾科(鳞翅目)折翅機制之比較形態學與系統發生意涵			中山大學生物科學系				
994	2007	1	27-28	海報	生物親緣與分類		120	DP-10			施禮正、顏聖紘	水螟(鳞翅目:草螟科)跗節顯微結構、產卵策略和棲地關聯性之初探			中山大學生物科學系				
995	2007	1	27-28	海報	生物親緣與分類		120	DP-11			廖士睿、顏聖紘	黃毒蛾族(鳞翅目,夜蛾總科,毒蛾科)之親緣關係及其翅紋性雙型性與多態性之親緣分布格局			中山大學生物科學系				
996	2007	1	27-28	海報	生物親緣與分類		120	DP-12			1.張維君、2.顏聖紘	色彩斑紋特徵是親緣關係重建上的雜訊或是可靠的訊息?			1.臺灣師範大學生命科學系、2.中山大學生物科學系				
997	2007	1	27-28	海報	生物親緣與分類		120	DP-13			羅英元	台灣產溪狡蛛之族群遺傳學以及地理親緣關係之探討			臺灣師範大學生命科學系				
998	2007	1	27-28	海報	生物親緣與分類		120	DP-14			1.陳逸蘋、12.Chia-Ho Hsu、1.Chih-Yung Chiou、12.Nuwei Vvian Wei、3.Carden C Wallace、12.陳昭倫	軸孔珊瑚與植物相似的演化?!			1.中央研究院生物多樣性研究中心、2.臺灣大學海洋生物研究所、3.Museum of Tropical Queensland, Townsville, Queensland, Australia				
999	2007	1	27-28	口頭報告	專題演講		40	(一)		邵廣昭	邵廣昭、1.賴崑萁、1.林永昌、2.吳信輝、2.陳欣瑜、1.李瀚	臺灣生物多樣性之整合─TaiBNET及TaiBIF			1.中央研究院生物多樣性研究中心、2.中央研究院計算中心				
1000	2007	1	27-28	口頭報告	專題演講		40	(二)		陳章波	陳章波、謝蕙蓮、蔡碧芝	生態學之哲學基礎			中央研究院生物多樣性研究中心				
1001	2007	1	27-28	口頭報告	專題演講		60	(三)		林曜松	林曜松	動物生態這一行的學習典範			臺灣大學生命科學系				
1002	2007	1	27-28	口頭報告	專題演講		40	(四)		林良恭	林良恭	小型哺乳動物之婚配制度			東海大學生命科學系				
1003	2007	1	27-28	口頭報告	行為生態		15	AO-01		李徵葳	李徵葳、高文媛、林雨德	利用穩定同位素來分析月鼠(Mus caroli)在關渡草澤地食物網之生態角色			臺灣大學生態學暨演化生物學研究所				
1004	2007	1	27-28	口頭報告	行為生態		15	AO-02		林依蓉	林依蓉、黃美秀	圈養台灣黑熊親子行為			屏東科技大學野生動物保育研究所				
1005	2007	1	27-28	口頭報告	行為生態		15	AO-03		金磊	金磊、杜銘章	台灣產龜殼花屬蛇類在不同溫度下之攻擊行為表現			臺灣師範大學生命科學系				
1006	2007	1	27-28	口頭報告	行為生態		15	AO-04		胡文寅	1.胡文寅、2.許育誠、1.劉小如	金門地區戴勝繁殖生態研究群與群聚生態學			1.中央研究院生物多樣性研究中心、2.東華大學自然資源管理研究所				
1007	2007	1	27-28	口頭報告	行為生態		15	AO-05		張海寧	張海寧、龔文斌、毛俊傑	大礁溪林場赤尾青竹絲伏擊時問之研究			宜蘭大學自然資源學系				
1008	2007	1	27-28	口頭報告	行為生態		15	AO-06		陳怡惠	1.陳怡惠2.于宏燦、1.關永才	艾氏樹蛙雄蛙護卵行為之研究			1.東海大學生命科學系、2.臺灣大學動物學研究所				
1009	2007	1	27-28	口頭報告	行為生態		15	AO-07		林慈怡、陳柔安	林慈怡、陳柔安	二角塵蜘群居與隱帶構築行為問交互作用之探討			東海大學生命科學系				
1010	2007	1	27-28	口頭報告	行為生態		15	AO-08		傅淑瑋	傅淑瑋、徐中琪、丁宗蘇	金門地區越冬鸕鶿日活動模式及活動範圍			臺灣大學森林暨環境暨資源學系				
1011	2007	1	27-28	口頭報告	行為生態		15	AO-09		熊威年	熊威年	土壞中不同的燃料油濃度對蚯蚓的影響			長榮大學職業安全與衛生學系				
1012	2007	1	27-28	口頭報告	行為生態		15	AO-10		蔡及文	1.蔡及文1.丁宗蘇、2.李玲玲	共域黃喉貂與黃鼠狼之食物資源分配			1.臺灣大學森林暨環境暨資源學系、2.臺灣大學生態學暨演化生物學研究所				
1013	2007	1	27-28	口頭報告	行為生態		15	AO-11		鄭任鈞	鄭任鈞	金蛛屬之隱帶功能探討與其演化			東海大學生命科學系				
1014	2007	1	27-28	口頭報告	行為生態		15	AO-12		鄭瓊珍	鄭瓊珍、張學文	影響琉球紫蛺蝶領域雄蝶視覺偵測之因素探討			中山大學生物科學系				
1015	2007	1	27-28	口頭報告	行為生態		15	AO-13		賴亦德	1.賴亦德、2.李玲玲、1.陳俊宏	獵物效益與捕食成功率對光潤金線蛭之最適捕食策略的影響			1.臺灣大學生命科學系、2.臺灣大學生態學暨演化生物學研究所				
1016	2007	1	27-28	口頭報告	行為生態		15	AO-14		賴亦德	1.賴亦德、2.李玲玲、1.陳俊宏	光潤金線蛭搜尋獵物之化學感知能力探討			1.臺灣大學生命科學系、2.臺灣大學生態學暨演化生物學研究所				
1017	2007	1	27-28	口頭報告	行為生態		15	AO-15		謝佳玲	謝佳玲、孫元勳	恆春半島家燕過境現象之研究			屏東科技大學野生動物保育研究所				
1018	2007	1	27-28	口頭報告	行為生態		15	AO-16		謝振尉	謝振尉、程一駿	赤背松柏根對綠蠵龜卵窩中體液之選擇的預實驗			臺灣海洋大學海洋生物研究所				
1019	2007	1	27-28	口頭報告	行為生態		15	AO-17		李懿欣	12.李懿欣、2.嚴宏洋、1. 焦傳金	視覺經驗對幼生虎斑烏賊(Sepia pharaonis)擬態能力發展的影響			1.清華大學分子醫學研究所、2.中央研究院細胞與個體生物研究所				
1020	2007	1	27-28	口頭報告	行為生態		15	AO-18		黃彥銘	1.黃彥銘、2.劉莉蓮、1.蘇俊育、1.邱郁文	高雄柴山囊舌目之物種調查與行為生態研究			1.高雄醫學大學生物醫學暨環境生物學系、2.中山大學海洋生物研究所				
1021	2007	1	27-28	口頭報告	行為生態		15	AO-19		林德恩、杜銘章	12.林德恩、1.杜銘章	入侵種多線南蜥溫度耐受度			1.行政院農委會特有生物研究保育中心、2.臺灣師範大學生命科學系				
1022	2007	1	27-28	口頭報告	行為生態		15	AO-20		蘇國強	1.蘇國強、12.林惠真	網紋招潮蟹煙囪功能之新假說			1.東海大學生命科學系、2.東海大學熱帶生態學與生物多樣性研究中心				
1023	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-01		官淑蕙	官淑蕙、林雨德	食物量及溫度對二期稻作區澤蛙蝌蚪變態之影響			臺灣大學生態學暨演化生物學研究所				
1024	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-02		林金福	12.林金福、2.徐芝敏	壽山臺灣獼猴成年雌猴位階與嬰猴性別、出生率及死亡率的關			1.高雄縣溪浦國中、2.中山大學生物科學系				
1025	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-03		林貞瑋	林貞瑋、丁宗蘇	以領域描圖法研究梅峰地區繁殖鳥類密度			臺灣大學森林暨環境資源學系				
1026	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-04		林斯正	1.林斯正、2.謝森和、3.楊平世	石坑溪921地震災後水棲昆蟲組成變化			1.行政院農委會特有生物研究保育中心、2.靜宜大學生態學系、3.臺灣大學昆蟲學系				
1027	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-05		邱玉娟	12.邱玉娟、1.許富雄、2,方懷聖	合歡山不同棲地類型之蝶類群聚的多樣性			1.嘉義大學生物資源學系、2.行政院農委會特有生物研究保育中心				
1028	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-06		黃美秀、姚中翎	1.黃美秀、1.姚中翎、2.王穎、3.李培芬、1.Yin-Jen Wu	台灣黑熊之分佈現況			1.屏東科技大學野生動物保育研究所、2.臺灣師範大學生命科學系、3.臺灣大學生態學暨演化生物學研究所				
1029	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-07		徐崇斌	徐崇斌、黃守忠、陳定鼎、謝蕙蓮、陳章波	高美溼地底質特性與底棲無脊椎動物群聚結構			中央研究院生物多樣性研究中心				
1030	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-08		許嘉合	12.許嘉合、1.Chih-Yung Chiou、3.Jih-Tern Wang、12.陳昭倫	Spatial and Temporal Dynamics of Antioxidative Enzymes and Stress Proteins in the Reef-building Coral, Stylophora pistillata (Scleractinia Pocillopridae), from Tropical and Subtropical Taiwan			1.中央研究院生物多樣性研究中心、2.臺灣大學海洋生物研究所、3.大仁科技大學生物科技系暨研究所				
1031	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-09		郭炳村	郭炳村、楊懿如	桃園地區兩棲類之海拔分布與生態區位之研究			花蓮教育大學生態與環境教育研究所				
1032	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-10		陳定鼎	陳定鼎、謝蕙蓮、范嵐楓	淡水河口附近海域底棲生物相群聚結構之調查			中央研究院生物多樣性研究中心				
1033	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-11		陳若潔	陳若潔、李玲玲	台灣長尾麝鼩(鼩形目:尖鼠科)棲地利用變異之研究			臺灣大學生態學暨演化生物學研究所				
1034	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-12		陳若潔	陳若潔、李玲玲	改良式薛門氏陷阱和傳統掉落式陷阱對台灣長尾麝鼩捕捉效力之比較			臺灣大學生態學暨演化生物學研究所				
1035	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-13		楊貽雯	楊貽雯	2005年秋季恆春半島鳥類夜間遷移模式			屏東科技大學野生動物保育研究所				
1036	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-14		潘文欽	潘文欽、黃榮千、施心翊、楊懿如	太魯閣國家公園砂卡礑溪及步道兩棲類生物多樣性			花蓮教育大學生態與環境教育研究所				
1037	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-15		鄭育昇	鄭育昇	利用氣象雷達探討2005年秋季赤腹鷹過境恆春半島之模式			屏東科技大學野生動物保育研究所				
1038	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-16		鍾曉航	1.鍾曉航、1.Chien-Hsun Chen、2.Carden C. Wallace、1.Hsiao-Hang Chung、1.陳昭倫	利用微隨體基因座探討軸孔珊瑚種間界線與族群遺傳之研究			1.中央研究院生物多樣性研究中心、2.Museum of Tropical Queensland, Australia				
1039	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-17		李承錄	李承錄、邱郁文	消波塊對沙質海岸生物相會有何影響?			高雄醫學大學生物醫學暨環境生物學系				
1040	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-18		李岱芬	1.李岱芬、23.姚正得、1.李壽先	低海拔繡眼畫眉族群具較高主要組織相容性複合體基因多樣			1.臺灣師範大學生命科學系、2.行政院農委會特有生物研究保育中心、3.成功大學生命科學系				
1041	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-19		戴士恩	1.戴士恩、1.鍾國仁、2.王一匡、3.蕭可晉、3.黃正良	由上而下與由下而上效應在工程及自然溪段對附著藻影響之比較			1.嘉義大學生物資源研究所、2.南華大學環境管理研究所、3.行政院農委會林業試驗所				
1042	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-20		王一匡	1.王一匡、1.蕭可晉、2.黃正良	蝌蚪由上而下與由下而上效應對溪流藻類的影響			1.南華大學環境管理研究所、2.行政院農委會林業試驗所				
1043	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-21		姚正得	13.姚正得、1.謝仲甫、2.李壽先、3.李亞夫	利用鳥巢箱與監視錄影設備進行四種次級寄住洞巢型鳥類之生殖自然史及食性比較			1.行政院農委會特有生物研究保育中心、2.臺灣師範大學生命科學系、3.成功大學生命科學系				
1044	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-22		張育菁	張育菁、楊懿如	花蓮低海拔地區蛙類群聚結構研究			花蓮教育大學生態與環境教育研究所				
1045	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-23		王一匡	1.王一匡、2.戴士恩、2.鍾國仁、1.蕭可晉	臺灣石賓(Acrossocheilus paradoxus Günther)在溪流生態系中的推土機效應			1.南華大學環境管理研究所、2.嘉義大學生物資源研究所				
1046	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-24		林于凱	林于凱	澎湖小白沙嶼三種燕鷗的巢位選擇與巢辨識			中山大學生物科學系				
1047	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-25		陳盈蓉	陳盈蓉、趙芯妘、侯宣伊、林思民	繁殖的代價:翠斑草蜥的寄生蟲生態			中國文化大學生命科學系				
1048	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-26		林怡萱	1.林怡萱、2.黃國靖	花蓮地區龍蝨科調查研究			1.花蓮教育大學生態與環境教育研究所、2.花蓮教育大學生物資源與科技研究所				
1049	2007	1	27-28	口頭報告	族群與群聚生態學		15	BO-27		蔡佩妤	1.蔡佩妤、1.周蓮香、2.袁孝緯	金門島栗喉蜂虎的生殖群聚選擇:過去生殖經驗之影響			1.臺灣大學生態學暨演化生物學研究所、2.臺灣大學森林暨環境暨資源學系				
1050	2007	1	27-28	口頭報告	野生動物保育與經營管理		15	CO-01		王嘉靖	1.王嘉靖、2.陳建志	遊憩對生態的影響一以象山市民森林公園糞金龜為例			1.臺北教育大學環境教育與資源所、2.臺北教育大學自然科學系				
1051	2007	1	27-28	口頭報告	野生動物保育與經營管理		15	CO-02		林宣佑	12.林宣佑、12.張明雄	封溪護漁之保育經營:以臺北縣大豹溪為例			1.臺北市立動物園、2.中華民國溪流環境協會				
1052	2007	1	27-28	口頭報告	野生動物保育與經營管理		15	CO-03		林德恩	1.林德恩、2.趙仁方、1.黃永慶、3.林登榮	綠島地區道路殺手效應之研究			1.行政院農委會特有生物研究保育中心、2.明新科技大學休閒事業管理學系、3.綠島文化生態協會				
1053	2007	1	27-28	口頭報告	野生動物保育與經營管理		15	CO-04		吳郁娟	1.吳郁娟、2.王相華、1.吳海音	墾丁高位珊瑚礁林台灣梅花鹿(Cervus nippon taiouanus) 的棲地利用及其對林下苗木的取			1.東華大學自然資源管理所、2.行政院農委會林業試驗所				
1054	2007	1	27-28	口頭報告	野生動物保育與經營管理		15	CO-05		洪孝宇	洪孝宇、孫元勳	魚鴞在台灣的分布模式			屏東科技大學野生動物保育研究所				
1055	2007	1	27-28	口頭報告	野生動物保育與經營管理		15	CO-06		陳久林	陳久林、程一駿	卵窩溫度變化對綠蠵龜稚龜性別比與孵化狀況之影響			臺灣海洋大學海洋生物研究所				
1056	2007	1	27-28	口頭報告	野生動物保育與經營管理		15	CO-07		陳逸軒	陳逸軒、程一駿	望安島綠蠵龜龜卵卵窩植被變化量與水勢能以及孵化率的相互關係			臺灣海洋大學海洋生物研究所				
1057	2007	1	27-28	口頭報告	野生動物保育與經營管理		15	CO-08		黃守忠	1.黃守忠、2.施上粟、1.陳章波、1.謝蕙蓮	淡水河系紅樹林濕地疏伐可行性評估研究			1.中央研究院生物多樣性研究中心、2.臺灣水利環境科技研究發展教育金金會				
1058	2007	1	27-28	口頭報告	野生動物保育與經營管理		15	CO-09		廖敏惠	12.廖敏惠、1.Sen-Lin Tang、12.陳昭倫	Coral Disease in Taiwan			1.中央研究院生物多樣性研究中心、2.臺灣大學海洋生物研究所				
1059	2007	1	27-28	口頭報告	野生動物保育與經營管理		15	CO-10		鐘豊昌	1.鐘豊昌、1.林幸助、1.尤少彬、2.曾晴賢、2.楊正雄、3.葉昭憲	高山溪防砂壩改善後鮭魚族群與底質物理棲地變動之研究			1.中興大學生命科學系、2.清華大學生命科學院生物資訊與結構生物研究所、3.逢甲大學水利工程與資源保育學系				
1060	2007	1	27-28	口頭報告	野生動物保育與經營管理		15	CO-11		施佳宜	1.施佳宜、1.鍾國仁、2.邱郁文、3.Mark D. Barnes	人工建設「好」還是「不好」?以恆春半島珊瑚礁蜑螺科(Neritidae)貝類群			1.嘉義大學生物資源學系、2.高雄醫學大學生物醫學暨環境生物學系、3.中國文化大學土地資源學系				
1061	2007	1	27-28	口頭報告	野生動物保育與經營管理		15	CO-12		楊曼瑜	楊曼瑜、李培芬	台南四草保護區之經營策略制訂一以水鳥為例			臺灣大學生態學暨演化生物學研究所				
1062	2007	1	27-28	口頭報告	野生動物保育與經營管理		15	CO-13		黃元照	12.黃元照、3.Hernyi Justin Hsieh、1.Shou-Choung Huang、4.Pei-Jie Meng、12.陳昭倫	Impacts of Marine Cage Culture the Marine Environment of a Subtropical Coral Community in Penghu, Taiwan			1.中央研究院生物多樣性研究中心、2.臺灣大學海洋生物研究所、3.行政院農委會水產試驗所澎湖海洋生物研究中心、4.海洋生物博物館				
1063	2007	1	27-28	口頭報告	野生動物保育與經營管理		15	CO-14		蔡碧芝	蔡碧芝、吳海音	台東縣泰源盆地台灣獼猴危害農作物現況與當地居民保育態度之探討			東華大學自然資源管理研究所				
1064	2007	1	27-28	口頭報告	生物親緣與分類		15	DO-01		何健鎔	1.何健鎔1.Pi-Hei Chiang、2.游舜期、3.楊平世	Life History Traits in an Aquatic Firefly, Luciola fitca (Coleoptera: Lampyridae)			1.行政院農委會特有生物研究保育中心、2.中興大學生命科學系、3.臺灣大學昆蟲學系暨研究所				
1065	2007	1	27-28	口頭報告	生物親緣與分類		15	DO-02		吳士緯	1.吳士緯、2.顏聖紘、1.蕭旭峰	根據形態特徵重建之蕨夜蛾亞科(鳞翅目:真夜蛾科)親緣關係			1.臺灣大學昆蟲學系、2.中山大學生物科學系				
1066	2007	1	27-28	口頭報告	生物親緣與分類		15	DO-03		吳立偉	1.吳立偉、2.顏聖紘、1.徐堉峰	引入植物誘發本土蝶類之大發生並可能威脅瀕危植物之生存			1.臺灣師範大學生命科學系、2.中山大學生物科學系				
1067	2007	1	27-28	口頭報告	生物親緣與分類		15	DO-04		韋家軒	韋家軒、顏聖紘	草蛾亞科(鳞翅目:草潛蛾科)之親緣關係及寄主植物利用演化格局			中山大學生物科學系				
1068	2007	1	27-28	口頭報告	生物親緣與分類		15	DO-05		徐銘宏	徐銘宏、張學文	台灣山蛩目(倍足綱)的分類研究			中山大學生物科學系				
1069	2007	1	27-28	口頭報告	生物親緣與分類		15	DO-06		陳孟宜	12.陳孟宜、2.Chih-Yung Chiu、23.Nuwei Vivian Wei、1.Chung-Pin Lin、4.Carden C. Wallace、23.陳昭倫	Identification of the Putative Ribosomal Pseudogene in Acropora (Scleractinia; Acroporidae): A Potential Source for Extreme Genomic Heterogeneity			1.東海大學生命科學系、2.中央研究院生物多樣性研究中心、3.臺灣大學海洋生物研究所、4.Museum of Tropical Queenaland, Australia				
1070	2007	1	27-28	口頭報告	生物親緣與分類		15	DO-08		顏綵葭	1.顏綵葭、1.See-Min Tee、1.Fang-Lin Wang、12.Ming-Che Yang、1.謝蕙蓮、1.陳章波、1.陳昭倫	Characterization of Microsatellites and Their Application in the Conservation Genetics of the Coconut Crab, Birgus latro, in the West-Pacific Region			1.中央研究院生物多樣性研究中心、2.臺灣大學海洋生物研究所				
1071	2007	1	27-28	口頭報告	生物親緣與分類		15	DO-09		林梅芳	12.林梅芳、12.Chienhsun Chen、12.Yao-Yang Chuang、1.Yu-Tseng Wu、12.陳昭倫	Evolutionary Mitogenomics Of the Hexacorallian Anthozoans (Cnidaria, Anthozoa) : Gene Order, Intron Evolution, and Phylogeny			1.臺灣大學海洋生物研究所、2.中央研究院生物多樣性研究中心				
1072	2007	1	27-28	口頭報告	生物親緣與分類		15	DO-10		李允意	1.李允意、2.陳賜隆、1.林思民	南島遺珠:南草蜥("xsDaudin,1802)的分類地位探討			1.中國文化大學生命科學系、2.臺北市立動物園				
1073	2007	1	27-28	口頭報告	生物親緣與分類		15	DO-11		高維苓	1.高維苓、1.華仲偉、2.辜俊逸、1.林思民	分類上的「雜菜麵」:南美產吸甲鯰科魚類的分子分類與親緣關係			1.中國文化大學生命科學系、2.德河水族貿易公司				
1074	2007	1	27-28	口頭報告	生物親緣與分類		15	DO-12		楊明哲	12.楊明哲、1.謝蕙蓮、13.陳章波、12.陳昭倫	三棘鱟於東海與南中國海海域之遺傳連通性及保育			1.中央研究院生物多樣性研究中心、2.臺灣大學海洋生物研究所、3.臺灣大學漁業科學研究所				
1075	2007	1	27-28	口頭報告	生物親緣與分類		15	DO-13		胡正恆	1.胡正恆、2.林宗岐、3.楊曼妙	蘭嶼島上蟻種多樣性在跨區域及跨棲地上之地理分佈模式			1.慈濟大學人類發展學系、2.彰化師範大學生物學系、3.中興大學昆蟲學系				
1076	2007	1	27-28	口頭報告	生物親緣與分類		15	DO-14		屈大平、胡正恆、李佳玲、陳雅文、林慧齡	1.屈大平、2.胡正恆、2.李佳玲、2.陳雅文、2.林慧齡	花蓮溪與秀姑巒溪流域原住民部落旱稻多樣性之生物地理學研究			1.行政院農委會花蓮區農業改良場、2.慈濟大學人類發展學系				
1077	2007	1	27-28	口頭報告	生物親緣與分類		15	DO-15		莊曜陽	12.莊曜陽、3.Hironobu Fukami、1.Ching-Chi Tseng、4.Nancy Knowlton、12.陳昭倫	COXI Group I Intron Evolution in Scleractinia and Corallimorpharia			1.中央研究院生物多樣性研究中心、2.臺灣大學海洋生物研究所、3.Seto Marine Biological Laboratory, the Kyoto University, Shirahama, Japan、4.Center For Marine Biodiversity and Conservation, The Scripps Institute of Oceanography, University of California, San Diego, USA				
1078	2008	1	28	海報	族群、族群生態與保育			AP01		楊邵閔	1.楊邵閔、2.陳賜隆、3.林雨德	Character displacement in two species of Japalura Lizards (Japalura swinhonis & Japalura polygonata xanthostoma )			1.台灣大學生態學與演化生物學研究所、2.台北市立動物園保育研究中心、3.台灣大學生命科學系				
1079	2008	1	28	海報	族群、族群生態與保育			AP02		Shian-Lin Huang	1.Shian-Lin Huang, 1.Lien-Siang Chou, 2.I-Hsun Ni	Compromising the prenatal and postnatal investments: correlation and estimation of length at weanmg in cetaceans			1.台灣大學生態與演化生物學研究所、2.台灣海洋大學環境生物與漁業科學學系				
1080	2008	1	28	海報	族群、族群生態與保育			AP03		王惟加	王惟加、顏聖紘	DNA條碼佐證以幼蟲巢式為基礎的簑蛾物種鑑定			中山大學生物科學系				
1081	2008	1	28	海報	族群、族群生態與保育			AP04		Delphine Beyrend-Dur	12.Delphine Beyrend-Dur, 3.Shin-Hong Cheng, 2.Sami Souissi, 1.Jiang-Shiou Hwang	Effect of temperature and salinity on reproduction of Pseudodiaptomus annandalei (Copepoda; Calanoida)			1.台灣海洋大學海洋生物研究所、2.UMR 8187 LOG, University of Lille 1, France、3.漁業試驗所東港生技研究中心				
1082	2008	1	28	海報	族群、族群生態與保育			AP05		李正文	1.李正文、2.梁世雄、1.邱郁文、1.張志銘	九如地區台灣網蜷(Melanoides tuberculata formosensis)生殖週期之研究			1.高雄師範大學生物科技系、2.高雄醫學大學生物醫學暨環境生物學系				
1083	2008	1	28	海報	族群、族群生態與保育			AP06		彭存偉	1.彭存偉、13.荊樹人、13.林瑩峰、23.李得元、2.黃大駿	人工溼地棲地變化對軟體動物相的影響			1.嘉南藥理科技大學環境工程學系、2.嘉南藥理科技大學環境資源管理系、3. 嘉南藥理科技大學生態工程中心				
1084	2008	1	28	海報	族群、族群生態與保育			AP07		王淳信	王淳信、彭仁君	三種鳳蝶在人工種植馬兜鈴植物上之產卵選擇			台東大學生命科學研究所				
1085	2008	1	28	海報	族群、族群生態與保育			AP08		黃為	黃為、葉峻銘、林培文、陳亮憲	大甲溪台灣纓口鰍受氣候干擾生殖模式之研究			中國文化大學生命科學系				
1086	2008	1	28	海報	族群、族群生態與保育			AP09		賴彥廷	賴彥廷、方穗銓、李維昕、傅新源、毛俊傑	大礁溪實驗林場林間兩棲爬行動物物種組成與微棲地選擇			宜蘭大學自然資源學系				
1087	2008	1	28	海報	族群、族群生態與保育			AP10		李徵葳	1.李徵葳、3.吳珊樺、1.姜壽嶽、1.官淑蕙、1.林婷婷、1.楊邵閔、12.林雨德	小尺度下植物多樣性與巢鼠(Micromys minutus)族群豐度之關係			1.台灣大學生態學與演化生物學研究所、2.台灣大學生命科學系、3.台灣師範大學生命科學系				
1088	2008	1	28	海報	族群、族群生態與保育			AP11		魏婉如	魏婉如、王一如、黃怡慈、莊孟憲	不同水田型態與環境因子對蜻蛉目群聚結構之影響			真理大學自然資源應用學系				
1089	2008	1	28	海報	族群、族群生態與保育			AP12		林葭瑀	林葭瑀、林宜靜	以三種模式比較不同傳播媒介之種子散布模式			高雄醫學大學生物醫學暨環境生物學系				
1090	2008	1	28	海報	族群、族群生態與保育			AP13		賴家欣	賴家欣	以鳥類同功群概念建構溼地生態評分系統			台南大學環境生態研究所				
1091	2008	1	28	海報	族群、族群生態與保育			AP14		劉錕	1.劉錕、2.陳家榜、2.江昭皚、3.曾傳蘆、2.盧福明、1.楊恩誠	以無線感測技術即時調查害蟲動態-東方果實蠅為例			1.台灣大學昆蟲系、2.台灣大學生物產業機電工程學系、3.台北科技大學電機工程學系				
1092	2008	1	28	海報	族群、族群生態與保育			AP15		顏延庭	顏延庭、曾立鈞、黃將俢	北部核一核二廠運轉對週邊海域浮游動物生態影響			臺灣海洋大學海洋生物研究所				
1093	2008	1	28	海報	族群、族群生態與保育			AP16		葛瑞	葛瑞、謝典修、毛俊傑	台七線蛇類道路死亡與道路結構及其周遭環境特性之研究			宜蘭大學自然資源學系				
1094	2008	1	28	海報	族群、族群生態與保育			AP17		黃文楷	黃文楷、彭仁君	台東縣大南溪急流與緩流區內扁蜉蝣物種組成及其族群變動比較			台東大學生命科學研究所				
1095	2008	1	28	海報	族群、族群生態與保育			AP18		莊孟憲	莊孟憲、余和如、徐芷筠、蔡明宏、賴均銘	台南縣東山鄉低海拔山區中小型哺乳動物調查			真理大學自然資源應用學系				
1096	2008	1	28	海報	族群、族群生態與保育			AP19		張家維	1.張家維、2.鄭錫奇、1.方引平	台灣中南部山區蝙蝠多樣性的海拔與棲地分布模式			1.嘉義大學生物資源學系、2.農委會特有生物研究保育中心				
1097	2008	1	28	海報	族群、族群生態與保育			AP20		蔡俊興	蔡俊興、黃繼瑩、吳聲海	台灣中部高美溼地魚類群聚結構之研究			中興大學生命科學系				
1098	2008	1	28	海報	族群、族群生態與保育			AP21		蔡俊興	蔡俊興、吳聲海	台灣北部香山濕地魚類群聚初探			中興大學生命科學系				
1099	2008	1	28	海報	族群、族群生態與保育			AP22		蕭世輝	1.蕭世輝、1.黃將修、2.方天熹	台灣北部海域橈足類體內重金屬蓄積之研究			1.臺灣海洋大學海洋生物研究所、2.台灣海洋大學海洋環境資訊系				
1100	2008	1	28	海報	族群、族群生態與保育			AP23		孫德容	孫德容、王一匡	台灣石(魚賓)對溪流藻類群聚的影響			南華大學環境管理研究所				
1101	2008	1	28	海報	族群、族群生態與保育			AP24		陳曉怡	1.陳曉怡、2.陳章波	台灣招潮蟹(Uca formosensis)底質棲地環境特徵之探討		A Study on the Sediment Characteristics Of Uca b 0 Habitat	1.台灣大學漁業科學研究所 、2.中研院生物多樣性中心				
1102	2008	1	28	海報	族群、族群生態與保育			AP25		黃督耀	黃督耀、姜鈴	石門水庫河殼菜蛤的成長與族群結構		Growth and population sfructure Of the op a r Shimen Reservoir	彰化師範大學生物系				
